BIN6,Ranges,Issuer,Country,Brand,Type
940001,00-99,XINJIANG URUMQI CITY COMMERCIAL BANK,CN,local,debit
940002,00-99,ANSHAN CITY COMMERCIAL BANK,CN,private label,debit
940003,00-99,BANK OF JINZHOU CO. LTD.,CN,local,debit
940006,00-99,NANCHANG BANK,CN,local,debit
940008,00-99,QILU BANK CO. LTD.,CN,local,debit
940010,00-99,CITI BANK,KR,local brand,credit
940011,00-99,BC CARD,KR,local brand,debit
940012,00-99,BC CARD,KR,local brand,debit
940013,00-99,SHANGHAI RURAL CREDIT COOPERATIVE UNION,CN,local,debit
940015,00-99,TIANJING COMMERCIAL BANK (DEBIT CARD),CN,local,debit
940016,00-99,BANK OF GUANGZHOU CO. LTD.,CN,local,debit
940017,00-99,HANMI BANK,KR,private label,debit
940018,00-99,CHONGQING CITY COMMERCIAL BANK,CN,local,debit
940020,00-99,CITI BANK,KR,local brand,credit
940021,00-99,BANK OF SHANGHAI DEBIT CARD CENTER,CN,local,debit
940022,00-99,BANK OF NINGBO,CN,local,debit
940023,00-99,XIAMEN BANK CO. LTD.,CN,local,debit
940025,00-99,ZHENJIANG CITY COMMERCIAL BANK,CN,local,debit
940026,00-99,Ebt,US,private label,debit
940027,00-99,CHENGDU CITY COMMERCIAL BANK,CN,local,debit
940028,00-99,YANTAI COMMERCIAL BANK,CN,local,debit
940029,00-99,KUNSHAN RURAL CREDIT COOPERATIVE,CN,local,debit
940030,00-99,CITI BANK,KR,local brand,credit
940031,00-99,TAIYUAN CITY COMMERCIAL BANK,CN,local,debit
940032,00-99,JIAOZUO CITY COMMERCIAL BANK,CN,private label,debit
940033,00-99,Ebt,US,private label,debit
940034,00-99,EVERGROWING BANK,CN,local,debit
940035,00-99,RCCUG,CN,local,debit
940037,00-99,FOUSHAN NANHAI RURAL CREDIT COOPERATIVE UNION,CN,local,debit
940038,00-99,FOSHAN SHUNDE RURAL COMMERCIAL BANK,CN,local,debit
940039,00-99,SHENYANG CITY COMMERCIAL BANK,CN,local,debit
940040,00-99,CITI BANK,KR,local brand,credit
940041,00-99,BANK OF LUOYANG,CN,local,debit
940042,00-99,KUNMING AGRICULTURAL COOPERATIVE,CN,local,debit
940043,00-99,BANK OF LIAOYANG CO. LTD.,CN,local,debit
940044,00-99,WUHAN RURAL CREDIT UNION,CN,local,debit
940046,00-99,BANK OF HEBEI CO. LTD.,CN,local,debit
940047,00-99,JILIN CITY COMMERCIAL BANK WUSONG CARD DEPT.,CN,local,debit
940048,00-99,ZHUHAI CITY COMMERCIAL BANK,CN,local,debit
940049,00-99,HAERBIN BANK,CN,local,debit
940050,00-99,CITIBANK,CN,local,debit
940051,00-99,JINHUA BANK CO. LTD.,CN,local,debit
940053,00-99,BANK OF FUSHUN CO. LTD.,CN,local,debit
940054,00-99,HULUDAO CITY COMMERCIAL BANK,CN,local,debit
940055,00-99,YICHANG CITY COMMERCIAL BANK,CN,local,debit
940056,00-99,BANK OF ZHENGZHOU CO. LTD.,CN,local,debit
940057,00-99,QISHANG BANK,CN,local,debit
940058,00-99,JIANGYIN RURAL COMMERCIAL BANK,CN,local,debit
940060,00-99,CITIBANK,KR,local brand,debit
940061,00-99,QINGDAO BANK,CN,local,debit
940062,00-99,DONGGUAN RCU,CN,local,debit
940063,00-99,ZHANGJIANGGANG RCB,CN,local,debit
940065,00-99,RIZHAO CITY COMMERCIAL BANK,CN,local,debit
940066,00-99,LINYI COMMERCIAL BANK,CN,local,debit
940068,00-99,XINING CITY COMMERCIAL BANK GOLD CARD AGENT,CN,local,debit
940069,00-99,BANK OF TAIZHOU,CN,local,debit
940070,00-99,JEONBUK BANK,KR,private label,debit
940071,00-99,CHANGSHA BANK,CN,private label,debit
940072,00-99,BANK OF WEIFANG,CN,local,debit
940073,00-99,GANZHOU CITY COMMERCIAL BANK,CN,local,debit
940074,00-99,QUANZHOU CITY COMMERCIAL BANK,CN,local,debit
940075,00-99,YINGKOU COMMERCIAL BANK,CN,local,debit
940076,00-99,BANK OF JIANGSU,CN,local,debit
940080,00-99,CITI CARD,KR,local brand,credit
940081,00-99,QINGDAO BANK,CN,private label,debit
940090,00-99,CITI CARD,KR,local brand,credit
940117,00-99,Shinhan Card,KR,local brand,debit
940131,00-99,ICICI BANK LTD.,IN,private label,debit
940134,00-99,ICICI BANK LTD.,IN,private label,debit
940327,00-99,CITI CARDS,KR,local brand,debit
940388,00-99,CITIBANK,KR,local brand,debit
940701,00-99,SUHYUP BANK,KR,local brand,credit
940702,00-99,SUHYUP BANK,KR,local brand,debit
940703,00-99,SUHYUP BANK,KR,local brand,debit
940704,00-99,SUHYUP BANK,KR,local brand,credit
940706,00-99,SUHYUP BANK,KR,local brand,credit
940707,00-99,SUHYUP BANK,KR,local brand,debit
940708,00-99,SUHYUP,KR,local brand,debit
940910,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940911,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940912,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940913,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940914,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940915,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940916,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940917,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940918,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940919,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940920,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940921,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940922,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940923,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940924,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940925,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940926,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940927,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940928,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940929,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940930,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940931,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940932,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940933,00-99,LOTTE CARD CO. LTD.,KR,local brand,debit
940934,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940935,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940936,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940937,00-99,LOTTE CARD CO. LTD.,KR,local brand,debit
940938,00-99,LOTTE CARD CO. LTD.,KR,local brand,debit
940939,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940940,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940941,00-99,LOTTE CARD CO. LTD.,KR,local brand,debit
940942,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940943,00-99,LOTTE CARD CO. LTD.,KR,local brand,debit
940945,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
940947,00-99,LOTTE CARD CO. LTD.,KR,local brand,credit
